selection_date,code,name,rank,similarity_score,best_match_case,best_match_date,category,reasons,buy_price,sell_price,return_pct,max_gain_pct,max_gain_day,sell_date,hold_days
2025-10-09,603926,铁流股份,1,97.77,case_002,2025-08-06,bowl_center,['匹配case_002'],17.71,18.5,4.460756634669673,59.23207227555053,119,2026-03-20,30
2025-10-09,002681,奋达科技,2,95.82,case_006,2025-08-04,bowl_center,['匹配case_006'],7.25,5.6,-22.758620689655178,5.9310344827586166,53,2026-03-20,30
2025-10-09,605136,丽人丽妆,3,95.76,case_001,2025-05-12,bowl_center,['匹配case_001'],9.95,9.79,-1.6080402010050268,42.51256281407036,98,2026-03-20,30
2025-10-09,000810,创维数字,4,95.37,case_002,2025-08-06,bowl_center,['匹配case_002'],13.58,10.8,-20.47128129602356,4.491899852724591,1,2026-03-20,30
2025-10-09,600228,*ST返利,5,94.89,case_004,2025-07-23,bowl_center,['匹配case_004'],5.56,5.43,-2.338129496402876,44.06474820143885,56,2026-03-20,30
2025-10-09,001306,夏厦精密,6,94.18,case_002,2025-08-06,bowl_center,['匹配case_002'],102.72,67.28,-34.50155763239875,4.906542056074772,0,2026-03-20,30
2025-10-09,002555,三七互娱,7,94.18,case_002,2025-08-06,bowl_center,['匹配case_002'],21.381,22.42,4.859454656003001,45.03531172536365,96,2026-03-20,30
2025-10-09,605319,无锡振华,8,94.11,case_009,2025-08-01,bowl_center,['匹配case_009'],24.81,23.75,-4.272470777912128,4.7964530431277765,124,2026-03-20,30
2025-10-09,300457,赢合科技,9,93.81,case_002,2025-08-06,bowl_center,['匹配case_002'],34.48,24.29,-29.55336426914153,4.6983758700696185,0,2026-03-20,30
2025-10-09,603196,日播时尚,10,93.8,case_004,2025-07-23,bowl_center,['匹配case_004'],22.1,26.84,21.44796380090497,32.5339366515837,112,2026-03-20,30
