selection_date,code,name,rank,similarity_score,best_match_case,best_match_date,category,reasons,buy_price,sell_price,return_pct,max_gain_pct,max_gain_day,sell_date,hold_days,trigger_10pct_date,trigger_neg2pct_date,trigger_neg4pct_date,trigger_10pct_day,first_reach_order,ever_below_zero,industry,industry_heat_buy,industry_heat_10pct,industry_heat_neg2pct,industry_heat_neg4pct,industry_heat_sell
2025-09-01,600595,中孚实业,1,96.45,case_004,2025-07-23,主板,['匹配case_004: 方正科技 - 靠近多空线+量能平稳+J值中位'],5.27,5.46,3.6053130929791353,10.246679316888047,11,2025-10-09,30,2025-09-12,2025-09-02,2025-09-02,11,"('neg2pct', 'neg4pct', '10pct')",True,未知,,,,,
2025-09-01,001268,联合精密,2,96.34,case_002,2025-08-06,主板,['匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位'],35.33,31.46,-10.953863572035091,10.048117746957272,14,2025-10-09,30,2025-09-15,2025-09-02,2025-09-02,14,"('neg2pct', 'neg4pct', '10pct')",True,化工,25.24,,25.25,25.25,
2025-09-01,300247,融捷健康,3,95.64,case_002,2025-08-06,主板,['匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位'],4.5,4.09,-9.111111111111114,4.666666666666666,15,2025-10-09,30,,2025-09-02,2025-09-04,,"('neg2pct', 'neg4pct')",True,新能源,25.35,,25.87,30.69,
2025-09-01,301119,正强股份,4,95.46,case_006,2025-08-04,中小板,['匹配case_006: 国轩高科 - 靠近短期趋势线+量能平稳+J值低位'],37.3,37.89,1.581769436997328,15.281501340482581,16,2025-10-09,30,2025-09-17,2025-09-02,2025-09-02,16,"('neg2pct', 'neg4pct', '10pct')",True,未知,,,,,
2025-09-01,002215,诺 普 信,5,95.35,case_004,2025-07-23,主板,['匹配case_004: 方正科技 - 靠近多空线+量能平稳+J值中位'],12.29,12.55,2.115541090317344,11.635475996745335,17,2025-10-09,30,2025-09-18,2025-09-02,2025-09-02,17,"('neg2pct', 'neg4pct', '10pct')",True,未知,,,,,
2025-09-01,002199,*ST东晶,6,94.99,case_002,2025-08-06,主板,['匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位'],10.55,10.49,-0.5687203791469241,5.876777251184826,14,2025-10-09,30,,2025-09-02,2025-09-02,,"('neg2pct', 'neg4pct')",True,未知,,,,,
2025-09-01,300354,东华测试,7,94.69,case_011,2025-11-12,主板,['匹配case_011: 航天发展 - 航天军工+量能异动+趋势突破'],43.48,48.46,11.453541858325679,29.25482980680774,24,2025-10-09,30,2025-09-18,2025-09-02,2025-09-02,17,"('neg2pct', 'neg4pct', '10pct')",True,未知,,,,,
2025-09-01,600986,浙文互联,8,94.57,case_003,2025-06-20,科创板,['匹配case_003: 微芯生物 - 平台整理+缩量后放量+J值低位'],9.3,7.95,-14.516129032258068,3.7634408602150495,0,2025-10-09,30,,2025-09-02,2025-09-02,,"('neg2pct', 'neg4pct')",True,未知,,,,,
2025-09-01,002779,中坚科技,9,94.56,case_004,2025-07-23,主板,['匹配case_004: 方正科技 - 靠近多空线+量能平稳+J值中位'],99.78,137.31,37.61274804570054,46.32190819803568,16,2025-10-09,30,2025-09-05,2025-09-02,2025-09-02,4,"('neg2pct', 'neg4pct', '10pct')",True,化工,25.24,25.79,25.25,25.25,
2025-09-01,688316,青云科技-U,10,94.55,case_006,2025-08-04,中小板,['匹配case_006: 国轩高科 - 靠近短期趋势线+量能平稳+J值低位'],73.4,66.52,-9.373297002724808,4.7411444141689225,0,2025-10-09,30,,2025-09-02,2025-09-02,,"('neg2pct', 'neg4pct')",True,计算机,80.0,,80.0,80.0,
2025-09-02,601608,中信重工,1,97.09,case_004,2025-07-23,主板,['匹配case_004: 方正科技 - 靠近多空线+量能平稳+J值中位'],5.27,5.69,7.969639468690719,8.159392789373825,37,2025-10-09,30,,2025-09-02,2025-09-04,,"('neg2pct', 'neg4pct')",True,未知,,,,,
2025-09-02,600510,黑牡丹,2,96.15,case_004,2025-07-23,主板,['匹配case_004: 方正科技 - 靠近多空线+量能平稳+J值中位'],7.12,7.57,6.320224719101127,20.646067415730332,10,2025-10-09,30,2025-09-11,2025-09-03,2025-09-03,9,"('neg2pct', 'neg4pct', '10pct')",True,未知,,,,,
2025-09-02,300247,融捷健康,3,95.79,case_002,2025-08-06,主板,['匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位'],4.46,4.09,-8.295964125560541,5.605381165919283,14,2025-10-09,30,,2025-09-02,2025-09-04,,"('neg2pct', 'neg4pct')",True,新能源,25.87,,25.87,30.69,
2025-09-02,301011,华立科技,4,95.66,case_003,2025-06-20,科创板,['匹配case_003: 微芯生物 - 平台整理+缩量后放量+J值低位'],28.88,28.17,-2.4584487534625947,8.933518005540172,22,2025-10-09,30,,2025-09-03,2025-09-03,,"('neg2pct', 'neg4pct')",True,未知,,,,,
2025-09-02,001268,联合精密,5,95.25,case_002,2025-08-06,主板,['匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位'],34.89,31.46,-9.830897105187733,11.435941530524511,13,2025-10-09,30,2025-09-15,2025-09-02,2025-09-04,13,"('neg2pct', 'neg4pct', '10pct')",True,化工,25.25,,25.25,25.32,
