selection_date,code,name,rank,similarity_score,best_match_case,best_match_date,category,reasons,buy_price,sell_price,return_pct,max_gain_pct,max_gain_day,sell_date,hold_days,trigger_10pct_date,trigger_5pct_date,trigger_neg2pct_date,trigger_neg4pct_date,trigger_10pct_day,trigger_5pct_day,first_reach_order,ever_below_zero,industry,industry_heat_buy,industry_heat_10pct,industry_heat_5pct,industry_heat_neg2pct,industry_heat_neg4pct,industry_heat_sell
2026-03-02,688169,石头科技,1,95.97,case_006,2025-08-04,中小板,['匹配case_006: 国轩高科 - 靠近短期趋势线+量能平稳+J值低位'],138.72,131.2,-5.420991926182245,2.1193771626297564,0,2026-03-09,5,,,2026-03-03,2026-03-04,,,"('neg2pct', 'neg4pct')",True,机械,22.1,,,22.09,22.01,22.04
2026-03-02,603259,药明康德,2,95.42,case_006,2025-08-04,中小板,['匹配case_006: 国轩高科 - 靠近短期趋势线+量能平稳+J值低位'],96.04,91.1,-5.143690129112882,2.415660141607656,0,2026-03-09,5,,,2026-03-03,2026-03-04,,,"('neg2pct', 'neg4pct')",True,医药,22.73,,,22.86,25.68,23.66
2026-03-02,001221,悍高集团,3,95.12,case_002,2025-08-06,主板,['匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位'],69.5,64.41,-7.32374100719425,1.2374100719424452,0,2026-03-09,5,,,2026-03-03,2026-03-04,,,"('neg2pct', 'neg4pct')",True,未知,,,,,,
2026-03-02,600234,科新发展,4,93.97,case_004,2025-07-23,主板,['匹配case_004: 方正科技 - 靠近多空线+量能平稳+J值中位'],13.84,13.59,-1.8063583815028903,2.962427745664741,0,2026-03-09,5,,,2026-03-02,2026-03-04,,,"('neg2pct', 'neg4pct')",True,未知,,,,,,
2026-03-02,600325,华发股份,5,93.97,case_002,2025-08-06,主板,['匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位'],4.29,4.04,-5.827505827505827,1.3986013986013894,0,2026-03-09,5,,,2026-03-03,2026-03-03,,,"('neg2pct', 'neg4pct')",True,未知,,,,,,
2026-03-03,300338,ST开元,1,95.34,case_004,2025-07-23,主板,['匹配case_004: 方正科技 - 靠近多空线+量能平稳+J值中位'],3.81,4.0,4.986876640419946,6.036745406824147,3,2026-03-09,5,,2026-03-06,2026-03-04,,,3,"('neg2pct', '5pct')",True,未知,,,,,,
2026-03-03,603259,药明康德,2,95.25,case_006,2025-08-04,中小板,['匹配case_006: 国轩高科 - 靠近短期趋势线+量能平稳+J值低位'],93.75,91.1,-2.826666666666673,4.480000000000003,0,2026-03-09,5,,,2026-03-04,2026-03-09,,,"('neg2pct', 'neg4pct')",True,医药,22.86,,,25.68,23.66,23.66
2026-03-03,603319,美湖股份,3,94.96,case_006,2025-08-04,中小板,['匹配case_006: 国轩高科 - 靠近短期趋势线+量能平稳+J值低位'],35.49,34.8,-1.9442096365173422,3.6911806142575236,0,2026-03-09,5,,,2026-03-09,,,,,True,未知,,,,,,
2026-03-03,603173,福斯达,4,94.93,case_006,2025-08-04,中小板,['匹配case_006: 国轩高科 - 靠近短期趋势线+量能平稳+J值低位'],46.1,43.04,-6.637744034707163,6.941431670281986,0,2026-03-09,5,,2026-03-03,2026-03-05,2026-03-09,,0,"('5pct', 'neg2pct', 'neg4pct')",True,未知,,,,,,
2026-03-03,688671,碧兴物联,5,94.73,case_006,2025-08-04,中小板,['匹配case_006: 国轩高科 - 靠近短期趋势线+量能平稳+J值低位'],22.62,22.76,0.6189213085764835,4.067197170645438,0,2026-03-09,5,,,2026-03-04,,,,,True,未知,,,,,,
