选股日期,排名,代码,名称,相似度,匹配案例,匹配案例描述,匹配日期,类型,推荐理由,买入价,卖出价,涨跌幅,最大涨幅,最大涨幅天数,卖出日期,持有天数,触发 +10% 日期,触发 -2% 日期,触发 -4% 日期,触发顺序
2025-09-10,1,301446,福事特,97.3%,case_004 (方正科技),靠近多空线+量能平稳+J值中位,2025-07-23,主板,匹配case_004: 方正科技 - 靠近多空线+量能平稳+J值中位,28.29,33.33,+17.82%,+34.85%,第42天,2025-10-27,45,2025-09-18,2025-09-10,-,"('neg2pct', '10pct')"
2025-09-10,2,688301,奕瑞科技,97.0%,case_004 (方正科技),靠近多空线+量能平稳+J值中位,2025-07-23,主板,匹配case_004: 方正科技 - 靠近多空线+量能平稳+J值中位,110.18,114.57,+3.98%,+14.36%,第30天,2025-10-27,45,2025-10-09,-,-,-
2025-09-10,3,603669,灵康药业,96.2%,case_002 (宁波韵升),回落短期趋势线+量能平稳+J值中位,2025-08-06,主板,匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位,5.81,5.58,-3.96%,+5.85%,第2天,2025-10-27,45,-,2025-09-11,2025-09-23,"('neg2pct', 'neg4pct')"
2025-09-10,4,688591,泰凌微,95.9%,case_001 (华纳药厂),杯型整理+缩量+J值低位,2025-05-12,科创板,匹配case_001: 华纳药厂 - 杯型整理+缩量+J值低位,48.21,50.14,+4.00%,+35.24%,第29天,2025-10-27,45,2025-09-17,2025-10-23,2025-10-23,"('10pct', 'neg2pct', 'neg4pct')"
2025-09-10,5,688127,蓝特光学,95.4%,case_002 (宁波韵升),回落短期趋势线+量能平稳+J值中位,2025-08-06,主板,匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位,31.41,32.84,+4.55%,+11.75%,第29天,2025-10-27,45,2025-10-09,2025-09-10,2025-09-16,"('neg2pct', 'neg4pct', '10pct')"
2025-09-10,6,301007,德迈仕,95.2%,case_002 (宁波韵升),回落短期趋势线+量能平稳+J值中位,2025-08-06,主板,匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位,43.39,41.34,-4.72%,+15.44%,第15天,2025-10-27,45,2025-09-24,2025-09-11,2025-10-17,"('neg2pct', '10pct', 'neg4pct')"
2025-09-10,7,601777,千里科技,95.2%,case_002 (宁波韵升),回落短期趋势线+量能平稳+J值中位,2025-08-06,主板,匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位,11.18,11.21,+0.27%,+23.97%,第15天,2025-10-27,45,2025-09-18,2025-10-23,-,"('10pct', 'neg2pct')"
2025-09-10,8,001395,亚联机械,95.2%,case_002 (宁波韵升),回落短期趋势线+量能平稳+J值中位,2025-08-06,主板,匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位,52.26,48.59,-7.02%,+1.26%,第2天,2025-10-27,45,-,2025-09-12,2025-09-18,"('neg2pct', 'neg4pct')"
2025-09-10,9,688522,纳睿雷达,95.0%,case_006 (国轩高科),靠近短期趋势线+量能平稳+J值低位,2025-08-04,中小板,匹配case_006: 国轩高科 - 靠近短期趋势线+量能平稳+J值低位,43.98,40.2,-8.59%,+3.98%,第6天,2025-10-27,45,-,2025-09-23,2025-09-23,"('neg2pct', 'neg4pct')"
2025-09-10,10,688117,圣诺生物,94.7%,case_002 (宁波韵升),回落短期趋势线+量能平稳+J值中位,2025-08-06,主板,匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位,40.508,40.958,+1.11%,+4.02%,第2天,2025-10-27,45,-,2025-09-11,2025-09-11,"('neg2pct', 'neg4pct')"
