选股日期,排名,代码,名称,相似度,匹配案例,匹配案例描述,匹配日期,类型,推荐理由,买入价,卖出价,涨跌幅,最大涨幅,最大涨幅天数,卖出日期,持有天数,触发 +10% 日期,触发 -2% 日期,触发 -4% 日期,达到 +10% 天数,触发顺序
2025-07-01,1,301188,力诺药包,95.7%,case_002 (宁波韵升),回落短期趋势线+量能平稳+J值中位,2025-08-06,主板,匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位,21.78,25.26,+15.98%,+18.32%,第44天,2025-08-15,45,2025-08-11,2025-07-02,2025-07-03,第41天,"('neg2pct', 'neg4pct', '10pct')"
2025-07-01,2,000518,*ST四环,94.3%,case_004 (方正科技),靠近多空线+量能平稳+J值中位,2025-07-23,主板,匹配case_004: 方正科技 - 靠近多空线+量能平稳+J值中位,2.54,2.28,-10.24%,+3.15%,第3天,2025-08-15,45,-,2025-07-02,2025-07-11,-,"('neg2pct', 'neg4pct')"
2025-07-01,3,603036,如通股份,93.9%,case_004 (方正科技),靠近多空线+量能平稳+J值中位,2025-07-23,主板,匹配case_004: 方正科技 - 靠近多空线+量能平稳+J值中位,16.96,19.9,+17.33%,+17.92%,第45天,2025-08-15,45,2025-08-14,2025-07-08,2025-07-11,第44天,"('neg2pct', 'neg4pct', '10pct')"
2025-07-01,4,000669,ST金鸿,93.5%,case_002 (宁波韵升),回落短期趋势线+量能平稳+J值中位,2025-08-06,主板,匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位,2.6,3.45,+32.69%,+41.54%,第44天,2025-08-15,45,2025-07-22,2025-07-02,-,第21天,"('neg2pct', '10pct')"
2025-07-01,5,300475,香农芯创,93.5%,case_004 (方正科技),靠近多空线+量能平稳+J值中位,2025-07-23,主板,匹配case_004: 方正科技 - 靠近多空线+量能平稳+J值中位,35.045,36.075,+2.94%,+7.93%,第43天,2025-08-15,45,-,2025-07-02,2025-07-10,-,"('neg2pct', 'neg4pct')"
2025-07-01,6,603657,春光科技,93.1%,case_002 (宁波韵升),回落短期趋势线+量能平稳+J值中位,2025-08-06,主板,匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位,33.58,33.63,+0.15%,+8.37%,第7天,2025-08-15,45,-,2025-07-01,2025-07-10,-,"('neg2pct', 'neg4pct')"
2025-07-01,7,000766,通化金马,92.7%,case_002 (宁波韵升),回落短期趋势线+量能平稳+J值中位,2025-08-06,主板,匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位,25.35,23.5,-7.30%,+2.37%,第1天,2025-08-15,45,-,2025-07-02,2025-07-02,-,"('neg2pct', 'neg4pct')"
2025-07-01,8,301567,贝隆精密,92.4%,case_011 (航天发展),航天军工+量能异动+趋势突破,2025-11-12,主板,匹配case_011: 航天发展 - 航天军工+量能异动+趋势突破,42.55,43.83,+3.01%,+6.42%,第41天,2025-08-15,45,-,2025-07-02,-,-,-
2025-07-01,9,603353,和顺石油,92.3%,case_008 (光电股份),缩量后放量+J值低位+趋势上行,2025-07-10,主板,匹配case_008: 光电股份 - 缩量后放量+J值低位+趋势上行,16.58,16.73,+0.90%,+4.58%,第41天,2025-08-15,45,-,2025-07-04,-,-,-
2025-07-01,10,600568,ST中珠,91.7%,case_002 (宁波韵升),回落短期趋势线+量能平稳+J值中位,2025-08-06,主板,匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位,1.66,1.88,+13.25%,+17.47%,第43天,2025-08-15,45,2025-08-12,2025-07-02,2025-07-02,第42天,"('neg2pct', 'neg4pct', '10pct')"
