选股日期,排名,代码,名称,相似度,匹配案例,匹配案例描述,匹配日期,类型,推荐理由,买入价,卖出价,涨跌幅,最大涨幅,最大涨幅天数,卖出日期,持有天数,触发 +10% 日期,触发 -2% 日期,触发 -4% 日期,达到 +10% 天数,触发顺序,是否曾跌破成本价,行业,行业热度_买入日,行业热度_10pct 日,行业热度_neg2pct 日,行业热度_neg4pct 日,行业热度_卖出日
2025-09-10,1,301446,福事特,97.3%,case_004 (方正科技),靠近多空线+量能平稳+J值中位,2025-07-23,主板,匹配case_004: 方正科技 - 靠近多空线+量能平稳+J值中位,28.29,33.33,+17.82%,+34.85%,第42天,2025-10-27,45,2025-09-18,2025-09-10,-,第8天,"('neg2pct', '10pct')",是,电子,39.45,67.69,39.45,,54.54
2025-09-10,2,688301,奕瑞科技,97.0%,case_004 (方正科技),靠近多空线+量能平稳+J值中位,2025-07-23,主板,匹配case_004: 方正科技 - 靠近多空线+量能平稳+J值中位,110.18,114.57,+3.98%,+14.36%,第30天,2025-10-27,45,2025-10-09,-,-,第29天,-,是,电子,39.45,62.74,,,54.54
2025-09-10,3,603669,灵康药业,96.2%,case_002 (宁波韵升),回落短期趋势线+量能平稳+J值中位,2025-08-06,主板,匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位,5.81,5.58,-3.96%,+5.85%,第2天,2025-10-27,45,-,2025-09-11,2025-09-23,-,"('neg2pct', 'neg4pct')",是,医药,18.29,,33.93,28.46,36.0
2025-09-10,4,688591,泰凌微,95.9%,case_001 (华纳药厂),杯型整理+缩量+J值低位,2025-05-12,科创板,匹配case_001: 华纳药厂 - 杯型整理+缩量+J值低位,48.21,50.14,+4.00%,+35.24%,第29天,2025-10-27,45,2025-09-17,2025-10-23,2025-10-23,第7天,"('10pct', 'neg2pct', 'neg4pct')",是,电子,39.45,49.74,42.13,42.13,54.54
2025-09-10,5,688127,蓝特光学,95.4%,case_002 (宁波韵升),回落短期趋势线+量能平稳+J值中位,2025-08-06,主板,匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位,31.41,32.84,+4.55%,+11.75%,第29天,2025-10-27,45,2025-10-09,2025-09-10,2025-09-16,第29天,"('neg2pct', 'neg4pct', '10pct')",是,电子,39.45,62.74,39.45,39.45,54.54
2025-09-05,1,000776,广发证券,95.0%,case_002 (宁波韵升),回落短期趋势线+量能平稳+J值中位,2025-08-06,主板,匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位,20.49,22.62,+10.40%,+19.81%,第35天,2025-10-20,45,2025-09-29,2025-09-05,-,第24天,"('neg2pct', '10pct')",是,证券,15.04,41.1,15.04,,14.75
2025-09-05,2,300211,*ST亿通,94.7%,case_002 (宁波韵升),回落短期趋势线+量能平稳+J值中位,2025-08-06,主板,匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位,10.16,9.73,-4.23%,+4.13%,第34天,2025-10-20,45,-,2025-09-05,2025-09-12,-,"('neg2pct', 'neg4pct')",是,医药,21.48,,21.48,21.36,22.91
2025-09-05,3,300255,常山药业,94.4%,case_002 (宁波韵升),回落短期趋势线+量能平稳+J值中位,2025-08-06,主板,匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位,47.59,50.98,+7.12%,+9.25%,第45天,2025-10-20,45,-,2025-09-05,2025-09-05,-,"('neg2pct', 'neg4pct')",是,医药,21.48,,21.48,21.48,22.91
2025-09-05,4,300561,*ST汇科,94.4%,case_002 (宁波韵升),回落短期趋势线+量能平稳+J值中位,2025-08-06,主板,匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位,16.56,15.46,-6.64%,+9.48%,第12天,2025-10-20,45,-,2025-09-05,2025-09-23,-,"('neg2pct', 'neg4pct')",是,计算机,77.83,,77.83,80.17,76.91
2025-09-05,5,301091,深城交,94.1%,case_002 (宁波韵升),回落短期趋势线+量能平稳+J值中位,2025-08-06,主板,匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位,32.18,32.5,+0.99%,+14.73%,第39天,2025-10-20,45,2025-10-13,2025-09-05,-,第38天,"('neg2pct', '10pct')",是,计算机,77.83,79.98,77.83,,76.91
