选股日期,排名,代码,名称,相似度,匹配案例,匹配案例描述,匹配日期,类型,推荐理由,买入价,卖出价,涨跌幅,最大涨幅,最大涨幅天数,卖出日期,持有天数,触发 +10% 日期,触发 +5% 日期,触发 -2% 日期,触发 -4% 日期,达到 +10% 天数,达到 +5% 天数,触发顺序,是否曾跌破成本价,行业,行业热度_买入日,行业热度_10pct 日,行业热度_5pct 日,行业热度_neg2pct 日,行业热度_neg4pct 日,行业热度_卖出日
2025-09-09,1,002356,赫美集团,94.8%,case_011 (航天发展),航天军工+量能异动+趋势突破,2025-11-12,主板,匹配case_011: 航天发展 - 航天军工+量能异动+趋势突破,3.6,3.59,-0.28%,+11.39%,第13天,2025-10-24,45,2025-09-22,2025-09-18,2025-09-18,2025-09-29,第13天,第9天,"('5pct', 'neg2pct', '10pct', 'neg4pct')",是,轻工制造,29.52,26.41,32.78,32.78,26.84,27.46
2025-09-09,2,603379,三美股份,94.6%,case_003 (微芯生物),平台整理+缩量后放量+J值低位,2025-06-20,科创板,匹配case_003: 微芯生物 - 平台整理+缩量后放量+J值低位,56.54,56.14,-0.71%,+10.08%,第31天,2025-10-24,45,2025-10-10,2025-09-29,2025-09-16,2025-09-23,第31天,第20天,"('neg2pct', 'neg4pct', '5pct', '10pct')",是,基础化工,74.8,66.14,68.22,64.69,68.47,67.89
2025-09-09,3,000753,漳州发展,94.2%,case_003 (微芯生物),平台整理+缩量后放量+J值低位,2025-06-20,科创板,匹配case_003: 微芯生物 - 平台整理+缩量后放量+J值低位,6.67,7.34,+10.04%,+22.34%,第35天,2025-10-24,45,2025-09-17,2025-09-15,2025-09-11,-,第8天,第6天,"('neg2pct', '5pct', '10pct')",是,汽车,54.74,60.84,60.17,51.24,,49.1
2025-09-09,4,600222,太龙药业,94.2%,case_004 (方正科技),靠近多空线+量能平稳+J值中位,2025-07-23,主板,匹配case_004: 方正科技 - 靠近多空线+量能平稳+J值中位,6.64,6.55,-1.36%,+6.17%,第8天,2025-10-24,45,-,2025-09-17,2025-09-11,2025-09-19,-,第8天,"('neg2pct', '5pct', 'neg4pct')",是,医药生物,57.53,,47.27,67.71,43.05,46.4
2025-09-09,5,002241,歌尔股份,93.9%,case_003 (微芯生物),平台整理+缩量后放量+J值低位,2025-06-20,科创板,匹配case_003: 微芯生物 - 平台整理+缩量后放量+J值低位,31.18,33.28,+6.74%,+30.47%,第30天,2025-10-24,45,2025-09-22,2025-09-12,2025-09-11,-,第13天,第3天,"('neg2pct', '5pct', '10pct')",是,电子,76.1,79.87,81.4,87.33,,91.81
2025-09-09,6,688593,新相微,93.8%,case_006 (国轩高科),靠近短期趋势线+量能平稳+J值低位,2025-08-04,中小板,匹配case_006: 国轩高科 - 靠近短期趋势线+量能平稳+J值低位,16.07,22.21,+38.21%,+68.01%,第9天,2025-10-24,45,2025-09-11,2025-09-11,-,-,第2天,第2天,"('10pct', '5pct')",是,电子,76.1,87.33,87.33,,,91.81
2025-09-09,7,300098,高新兴,93.8%,case_004 (方正科技),靠近多空线+量能平稳+J值中位,2025-07-23,主板,匹配case_004: 方正科技 - 靠近多空线+量能平稳+J值中位,5.67,5.59,-1.41%,+10.93%,第6天,2025-10-24,45,2025-09-15,2025-09-11,2025-10-13,2025-10-13,第6天,第2天,"('5pct', '10pct', 'neg2pct', 'neg4pct')",是,计算机,55.85,61.89,76.83,60.74,60.74,60.48
2025-09-09,8,300601,康泰生物,93.8%,case_004 (方正科技),靠近多空线+量能平稳+J值中位,2025-07-23,主板,匹配case_004: 方正科技 - 靠近多空线+量能平稳+J值中位,18.61,16.51,-11.28%,+3.55%,第1天,2025-10-24,45,-,-,2025-09-11,2025-09-11,-,-,"('neg2pct', 'neg4pct')",是,医药生物,57.53,,,67.71,67.71,46.4
2025-09-09,9,003015,日久光电,93.7%,case_003 (微芯生物),平台整理+缩量后放量+J值低位,2025-06-20,科创板,匹配case_003: 微芯生物 - 平台整理+缩量后放量+J值低位,17.69,17.35,-1.92%,+6.56%,第16天,2025-10-24,45,-,2025-09-15,2025-09-29,2025-09-30,-,第6天,"('5pct', 'neg2pct', 'neg4pct')",是,电子,76.1,,77.01,78.12,81.95,91.81
2025-09-09,10,688260,昀冢科技,93.7%,case_002 (宁波韵升),回落短期趋势线+量能平稳+J值中位,2025-08-06,主板,匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位,30.57,31.4,+2.72%,+25.88%,第31天,2025-10-24,45,2025-10-09,2025-09-17,2025-09-10,2025-09-23,第30天,第8天,"('neg2pct', '5pct', 'neg4pct', '10pct')",是,电子,76.1,84.68,80.89,81.52,83.21,91.81
2025-09-08,1,600864,哈投股份,94.3%,case_002 (宁波韵升),回落短期趋势线+量能平稳+J值中位,2025-08-06,主板,匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位,7.44,8.03,+7.93%,+9.41%,第45天,2025-10-23,45,-,2025-10-23,2025-09-18,2025-09-19,-,第45天,"('neg2pct', 'neg4pct', '5pct')",是,公用事业,39.94,,43.42,39.27,25.19,43.42
2025-09-08,2,300561,*ST汇科,93.8%,case_002 (宁波韵升),回落短期趋势线+量能平稳+J值中位,2025-08-06,主板,匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位,16.54,16.59,+0.30%,+9.61%,第9天,2025-10-23,45,-,2025-09-09,2025-09-22,2025-09-23,-,第1天,"('5pct', 'neg2pct', 'neg4pct')",是,计算机,54.4,,55.85,65.7,69.26,59.12
2025-09-08,3,003010,若羽臣,93.8%,case_002 (宁波韵升),回落短期趋势线+量能平稳+J值中位,2025-08-06,主板,匹配case_002: 宁波韵升 - 回落短期趋势线+量能平稳+J值中位,59.36,41.41,-30.24%,+2.76%,第0天,2025-10-23,45,-,-,2025-09-09,2025-09-09,-,-,"('neg2pct', 'neg4pct')",是,商贸零售,25.65,,,28.94,28.94,27.77
2025-09-08,4,600058,五矿发展,93.6%,case_011 (航天发展),航天军工+量能异动+趋势突破,2025-11-12,主板,匹配case_011: 航天发展 - 航天军工+量能异动+趋势突破,9.45,9.1,-3.70%,+6.35%,第4天,2025-10-23,45,-,2025-09-12,2025-09-11,2025-09-18,-,第4天,"('neg2pct', '5pct', 'neg4pct')",是,商贸零售,25.65,,30.17,28.16,28.38,27.77
2025-09-08,5,000737,北方铜业,93.4%,case_008 (光电股份),缩量后放量+J值低位+趋势上行,2025-07-10,主板,匹配case_008: 光电股份 - 缩量后放量+J值低位+趋势上行,11.99,15.32,+27.77%,+57.46%,第32天,2025-10-23,45,2025-09-12,2025-09-12,2025-09-10,-,第4天,第4天,"('neg2pct', '10pct', '5pct')",是,基础化工,77.39,67.32,67.32,67.26,,68.69
2025-09-08,6,688260,昀冢科技,93.4%,case_004 (方正科技),靠近多空线+量能平稳+J值中位,2025-07-23,主板,匹配case_004: 方正科技 - 靠近多空线+量能平稳+J值中位,31.01,31.6,+1.90%,+24.09%,第32天,2025-10-23,45,2025-10-09,2025-09-08,2025-09-08,2025-09-11,第31天,第0天,"('5pct', 'neg2pct', 'neg4pct', '10pct')",是,电子,79.11,84.68,79.11,79.11,87.33,77.59
2025-09-08,7,603379,三美股份,92.9%,case_008 (光电股份),缩量后放量+J值低位+趋势上行,2025-07-10,主板,匹配case_008: 光电股份 - 缩量后放量+J值低位+趋势上行,57.75,55.56,-3.79%,+7.77%,第32天,2025-10-23,45,-,2025-10-09,2025-09-09,2025-09-16,-,第31天,"('neg2pct', 'neg4pct', '5pct')",是,基础化工,77.39,,70.02,74.8,64.69,68.69
