选股日期,排名,代码,名称,相似度,匹配案例,匹配日期,类别,推荐理由,买入价,卖出价,涨跌幅,最大涨幅,最大涨幅天数,卖出日期,持有天数
2025-07-01,1,301188,力诺药包,95.7%,case_002,2025-08-06,bowl_center,匹配case_002,21.78,20.53,-5.74%,+1.56%,第0天,2025-07-16,15
2025-07-01,2,000518,*ST四环,94.3%,case_004,2025-07-23,bowl_center,匹配case_004,2.54,2.4,-5.51%,+3.15%,第3天,2025-07-16,15
2025-07-01,3,603036,如通股份,93.9%,case_004,2025-07-23,bowl_center,匹配case_004,16.96,16.99,+0.18%,+2.89%,第3天,2025-07-16,15
2025-07-01,4,000669,ST金鸿,93.5%,case_002,2025-08-06,bowl_center,匹配case_002,2.6,2.67,+2.69%,+9.23%,第8天,2025-07-16,15
2025-07-01,5,300475,香农芯创,93.5%,case_004,2025-07-23,bowl_center,匹配case_004,35.045,34.455,-1.68%,+4.51%,第2天,2025-07-16,15
2025-07-01,6,603657,春光科技,93.1%,case_002,2025-08-06,bowl_center,匹配case_002,33.58,31.65,-5.75%,+8.37%,第7天,2025-07-16,15
2025-07-01,7,000766,通化金马,92.7%,case_002,2025-08-06,bowl_center,匹配case_002,25.35,24.28,-4.22%,+2.37%,第1天,2025-07-16,15
2025-07-01,8,301567,贝隆精密,92.4%,case_011,2025-11-12,bowl_center,匹配case_011,42.55,41.65,-2.12%,+1.81%,第0天,2025-07-16,15
2025-07-01,9,603353,和顺石油,92.3%,case_008,2025-07-10,bowl_center,匹配case_008,16.58,16.22,-2.17%,+1.09%,第0天,2025-07-16,15
2025-07-01,10,600568,ST中珠,91.7%,case_002,2025-08-06,bowl_center,匹配case_002,1.66,1.61,-3.01%,+1.20%,第0天,2025-07-16,15
2025-07-02,1,000669,ST金鸿,94.8%,case_002,2025-08-06,bowl_center,匹配case_002,2.6,2.64,+1.54%,+9.23%,第7天,2025-07-17,15
2025-07-02,2,300056,中创环保,94.6%,case_004,2025-07-23,bowl_center,匹配case_004,14.06,13.7,-2.56%,+3.98%,第6天,2025-07-17,15
2025-07-02,3,605319,无锡振华,94.6%,case_003,2025-06-20,bowl_center,匹配case_003,23.057,22.75,-1.33%,+3.81%,第0天,2025-07-17,15
2025-07-02,4,300648,星云股份,94.1%,case_002,2025-08-06,bowl_center,匹配case_002,33.91,36.42,+7.40%,+11.97%,第12天,2025-07-17,15
2025-07-02,5,002241,歌尔股份,93.9%,case_004,2025-07-23,bowl_center,匹配case_004,22.513,23.143,+2.80%,+5.55%,第1天,2025-07-17,15
2025-07-02,6,300940,南极光,93.7%,case_004,2025-07-23,bowl_center,匹配case_004,24.12,27.6,+14.43%,+18.99%,第15天,2025-07-17,15
2025-07-02,7,603036,如通股份,93.5%,case_004,2025-07-23,bowl_center,匹配case_004,16.85,16.87,+0.12%,+3.56%,第2天,2025-07-17,15
2025-07-02,8,001268,联合精密,93.5%,case_004,2025-07-23,bowl_center,匹配case_004,24.58,27.25,+10.86%,+16.88%,第7天,2025-07-17,15
2025-07-02,9,603353,和顺石油,93.5%,case_008,2025-07-10,bowl_center,匹配case_008,16.48,16.26,-1.33%,+1.03%,第0天,2025-07-17,15
2025-07-02,10,688195,腾景科技,93.2%,case_003,2025-06-20,bowl_center,匹配case_003,41.94,42.57,+1.50%,+5.32%,第1天,2025-07-17,15
2025-07-03,1,603657,春光科技,95.1%,case_002,2025-08-06,bowl_center,匹配case_002,33.3,32.72,-1.74%,+9.28%,第5天,2025-07-18,15
2025-07-03,2,603680,今创集团,94.4%,case_002,2025-08-06,bowl_center,匹配case_002,11.22,12.23,+9.00%,+21.12%,第13天,2025-07-18,15
2025-07-03,3,688120,华海清科,93.8%,case_004,2025-07-23,bowl_center,匹配case_004,108.43,111.35,+2.69%,+5.92%,第4天,2025-07-18,15
2025-07-03,4,688036,传音控股,93.6%,case_002,2025-08-06,bowl_center,匹配case_002,75.95,73.89,-2.71%,+2.30%,第5天,2025-07-18,15
2025-07-03,5,000766,通化金马,93.2%,case_002,2025-08-06,bowl_center,匹配case_002,24.89,24.24,-2.61%,+1.04%,第14天,2025-07-18,15
2025-07-03,6,002779,中坚科技,93.2%,case_004,2025-07-23,bowl_center,匹配case_004,73.0,80.2,+9.86%,+14.37%,第13天,2025-07-18,15
2025-07-03,7,688800,瑞可达,93.1%,case_002,2025-08-06,bowl_center,匹配case_002,45.0,50.77,+12.82%,+16.60%,第14天,2025-07-18,15
2025-07-03,8,300872,天阳科技,92.9%,case_002,2025-08-06,bowl_center,匹配case_002,20.7,24.13,+16.57%,+36.14%,第5天,2025-07-18,15
2025-07-03,9,300056,中创环保,92.9%,case_002,2025-08-06,bowl_center,匹配case_002,14.15,13.7,-3.18%,+3.32%,第5天,2025-07-18,15
2025-07-03,10,688361,中科飞测,92.8%,case_004,2025-07-23,bowl_center,匹配case_004,81.95,81.33,-0.76%,+4.86%,第4天,2025-07-18,15
2025-07-04,1,300173,ST福能,95.0%,case_003,2025-06-20,bowl_center,匹配case_003,6.06,4.42,-27.06%,+20.79%,第136天,2026-03-20,15
2025-07-04,2,301487,盟固利,95.0%,case_003,2025-06-20,bowl_center,匹配case_003,20.63,21.57,+4.56%,+49.30%,第75天,2026-03-20,15
2025-07-04,3,603096,新经典,94.8%,case_004,2025-07-23,bowl_center,匹配case_004,18.41,17.58,-4.51%,+12.87%,第221天,2026-03-20,15
2025-07-04,4,600992,贵绳股份,94.7%,case_011,2025-11-12,bowl_center,匹配case_011,15.03,12.71,-15.44%,+9.85%,第25天,2026-03-20,15
2025-07-04,5,688195,腾景科技,94.5%,case_003,2025-06-20,bowl_center,匹配case_003,41.43,234.11,+465.07%,+518.68%,第220天,2026-03-20,15
2025-07-04,6,300550,和仁科技,94.4%,case_004,2025-07-23,bowl_center,匹配case_004,13.17,12.44,-5.54%,+28.70%,第194天,2026-03-20,15
2025-07-04,7,300694,蠡湖股份,94.0%,case_003,2025-06-20,bowl_center,匹配case_003,13.98,11.83,-15.38%,+3.22%,第0天,2026-03-20,15
2025-07-04,8,002117,东港股份,93.8%,case_002,2025-08-06,bowl_center,匹配case_002,11.38,10.72,-5.80%,+26.98%,第179天,2026-03-20,15
2025-07-04,9,600322,津投城开,93.8%,case_004,2025-07-23,bowl_center,匹配case_004,2.89,2.41,-16.61%,+25.26%,第76天,2026-03-20,15
2025-07-04,10,603598,引力传媒,93.8%,case_004,2025-07-23,bowl_center,匹配case_004,17.13,19.38,+13.13%,+101.28%,第194天,2026-03-20,15
2025-07-07,1,688167,炬光科技,96.6%,case_004,2025-07-23,bowl_center,匹配case_004,77.6,80.78,+4.10%,+7.85%,第15天,2025-07-22,15
2025-07-07,2,603598,引力传媒,95.7%,case_002,2025-08-06,bowl_center,匹配case_002,17.22,17.87,+3.77%,+7.14%,第11天,2025-07-22,15
2025-07-07,3,603258,电魂网络,95.1%,case_004,2025-07-23,bowl_center,匹配case_004,23.78,22.77,-4.25%,+10.01%,第1天,2025-07-22,15
2025-07-07,4,300331,苏大维格,95.1%,case_004,2025-07-23,bowl_center,匹配case_004,21.66,21.06,-2.77%,+1.62%,第1天,2025-07-22,15
2025-07-07,5,300841,康华生物,95.0%,case_004,2025-07-23,bowl_center,匹配case_004,63.11,66.32,+5.09%,+15.16%,第4天,2025-07-22,15
2025-07-07,6,605133,嵘泰股份,94.8%,case_002,2025-08-06,bowl_center,匹配case_002,31.046,33.95,+9.35%,+13.99%,第10天,2025-07-22,15
2025-07-07,7,002119,康强电子,94.8%,case_009,2025-08-01,bowl_center,匹配case_009,16.7,16.6,-0.60%,+1.68%,第1天,2025-07-22,15
2025-07-07,8,688130,晶华微,94.7%,case_011,2025-11-12,bowl_center,匹配case_011,21.4,21.81,+1.92%,+2.80%,第1天,2025-07-22,15
2025-07-07,9,002117,东港股份,94.7%,case_002,2025-08-06,bowl_center,匹配case_002,11.42,12.09,+5.87%,+10.77%,第10天,2025-07-22,15
2025-07-07,10,688036,传音控股,94.5%,case_002,2025-08-06,bowl_center,匹配case_002,73.98,74.35,+0.50%,+5.03%,第1天,2025-07-22,15
2025-07-08,1,301421,波长光电,95.7%,case_008,2025-07-10,bowl_center,匹配case_008,71.84,76.05,+5.86%,+8.94%,第14天,2025-07-23,15
